date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",32,223.2,0,0
2021-07-01,99G,"NHS SOUTHEND",593,4986.91,0,0
2021-07-01,07G,"NHS THURROCK",619,4594.45,0,0
2021-07-01,99F,"NHS CASTLE POINT AND ROCHFORD",624,5010.27,0,0
2021-07-01,04C,"NHS LEICESTER CITY",764,4750.72,0,0
2021-07-01,11X,"NHS SOMERSET",773,6025.37,0,0
2021-07-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",775,5182.12,0,0
2021-07-01,01F,"NHS HALTON",779,6507.66,0,0
2021-07-01,02E,"NHS WARRINGTON",785,6511.14,0,0
2021-07-01,01V,"NHS SOUTHPORT AND FORMBY",800,7787.41,0,0
2021-07-01,02T,"NHS CALDERDALE",821,6914.99,0,0
2021-07-01,02Q,"NHS BASSETLAW",834,6301.72,0,0
2021-07-01,02G,"NHS WEST LANCASHIRE",906,8506.96,0,0
2021-07-01,99E,"NHS BASILDON AND BRENTWOOD",933,7391.22,0,0
2021-07-01,05D,"NHS EAST STAFFORDSHIRE",972,7888.41,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",985,8455.04,0,0
2021-07-01,01T,"NHS SOUTH SEFTON",998,8506.41,0,0
2021-07-01,10R,"NHS PORTSMOUTH",1036,10739.84,0,0
2021-07-01,04Y,"NHS CANNOCK CHASE",1064,9747.27,0,0
2021-07-01,00V,"NHS BURY",1079,7496.43,0,0
2021-07-01,04V,"NHS WEST LEICESTERSHIRE",1101,7750.02,0,0
2021-07-01,01J,"NHS KNOWSLEY",1123,9460.13,0,0
2021-07-01,00R,"NHS BLACKPOOL",1194,10531.08,0,0
2021-07-01,01G,"NHS SALFORD",1259,9657.29,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1268,11754.94,0,0
2021-07-01,05V,"NHS STAFFORD AND SURROUNDS",1268,11940.27,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",1311,10208.91,0,0
2021-07-01,78H,"NHS NORTHAMPTONSHIRE",1320,9713.61,0,0
2021-07-01,01E,"NHS GREATER PRESTON",1327,12844.15,0,0
2021-07-01,02A,"NHS TRAFFORD",1345,12035.27,0,0
2021-07-01,00Q,"NHS BLACKBURN WITH DARWEN",1361,12511.1,0,0
2021-07-01,01K,"NHS MORECAMBE BAY",1393,10839.33,0,0
2021-07-01,02Y,"NHS EAST RIDING OF YORKSHIRE",1426,11270.95,0,0
2021-07-01,00N,"NHS SOUTH TYNESIDE",1446,16408.9,0,0
2021-07-01,01Y,"NHS TAMESIDE AND GLOSSOP",1487,13510.29,0,0
2021-07-01,03Q,"NHS VALE OF YORK",1494,15312.91,0,0
2021-07-01,99C,"NHS NORTH TYNESIDE",1497,15119.51,0,0
2021-07-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",1501,14804.92,0,0
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1529,12117.67,0,0
2021-07-01,09D,"NHS BRIGHTON AND HOVE",1561,16694.21,0,0
2021-07-01,03F,"NHS HULL",1608,12402.08,0,0
2021-07-01,01W,"NHS STOCKPORT",1622,13425.21,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1661,12731.43,0,0
2021-07-01,01X,"NHS ST HELENS",1668,15426.65,0,0
2021-07-01,12F,"NHS WIRRAL",1790,14775.57,0,0
2021-07-01,05G,"NHS NORTH STAFFORDSHIRE",1818,15562.83,0,0
2021-07-01,00T,"NHS BOLTON",1904,15090.75,0,0
2021-07-01,07H,"NHS WEST ESSEX",2028,16519.33,0,0
2021-07-01,03R,"NHS WAKEFIELD",2072,18633.7,0,0
2021-07-01,00Y,"NHS OLDHAM",2126,16667.79,0,0
2021-07-01,00P,"NHS SUNDERLAND",2223,22255.16,0,0
2021-07-01,06T,"NHS NORTH EAST ESSEX",2289,18259.64,0,0
2021-07-01,07K,"NHS WEST SUFFOLK",2505,18360.29,0,0
2021-07-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",2506,23750.3,0,0
2021-07-01,15A,"NHS BERKSHIRE WEST",2623,24240.93,0,0
2021-07-01,02P,"NHS BARNSLEY",2629,21812.84,0,0
2021-07-01,06L,"NHS IPSWICH AND EAST SUFFOLK",2631,20053.62,0,0
2021-07-01,01H,"NHS NORTH CUMBRIA",2659,26007.25,0,0
2021-07-01,03L,"NHS ROTHERHAM",2678,21985.02,0,0
2021-07-01,00L,"NHS NORTHUMBERLAND",2713,26167,0,0
2021-07-01,02X,"NHS DONCASTER",2770,23682.92,0,0
2021-07-01,06Q,"NHS MID ESSEX",2799,21820.8,0,0
2021-07-01,13T,"NHS NEWCASTLE GATESHEAD",2860,27129.85,0,0
2021-07-01,02H,"NHS WIGAN BOROUGH",2939,26144.9,0,0
2021-07-01,X2C4Y,"NHS KIRKLEES",3151,31434.5,0,0
2021-07-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",3170,31118.01,0,0
2021-07-01,01A,"NHS EAST LANCASHIRE",3192,25527.11,0,0
2021-07-01,05W,"NHS STOKE ON TRENT",3278,27258.16,0,0
2021-07-01,97R,"NHS EAST SUSSEX",3303,30244.23,0,0
2021-07-01,99A,"NHS LIVERPOOL",3576,32630.36,0,0
2021-07-01,06N,"NHS HERTS VALLEYS",3634,36554.09,0,0
2021-07-01,11J,"NHS DORSET",3701,30626.43,0,0
2021-07-01,15F,"NHS LEEDS",3857,33468.1,0,0
2021-07-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",4141,41431.96,0,0
2021-07-01,14Y,"NHS BUCKINGHAMSHIRE",4191,36190.98,0,0
2021-07-01,27D,"NHS CHESHIRE",4192,36742.22,0,0
2021-07-01,11M,"NHS GLOUCESTERSHIRE",4291,36513.92,0,0
2021-07-01,42D,"NHS NORTH YORKSHIRE",4529,43440.24,0,0
2021-07-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",4634,37718.51,0,0
2021-07-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",4666,43625.23,0,0
2021-07-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",4681,38636.82,0,0
2021-07-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",4761,39060.56,0,0
2021-07-01,84H,"NHS COUNTY DURHAM",4788,42983.17,0,0
2021-07-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",4797,38386.94,0,0
2021-07-01,03N,"NHS SHEFFIELD",5036,42355.06,0,0
2021-07-01,10Q,"NHS OXFORDSHIRE",5114,46981.26,0,0
2021-07-01,70F,"NHS WEST SUSSEX",5174,50497.44,0,0
2021-07-01,16C,"NHS TEES VALLEY",5371,48111.1,0,0
2021-07-01,71E,"NHS LINCOLNSHIRE",5431,41962.86,0,0
2021-07-01,14L,"NHS MANCHESTER",5541,45430.09,0,0
2021-07-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",5816,42784.71,0,0
2021-07-01,15N,"NHS DEVON",6154,49889.36,0,0
2021-07-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",6561,55125.35,0,0
2021-07-01,92A,"NHS SURREY HEARTLANDS",6674,66479.76,0,0
2021-07-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",7009,57476.54,0,0
2021-07-01,15M,"NHS DERBY AND DERBYSHIRE",7177,66861.09,0,0
2021-07-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",7232,69054.66,0,0
2021-07-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",7775,61759.3,0,0
2021-07-01,26A,"NHS NORFOLK AND WAVENEY",8376,68292.68,0,0
2021-07-01,36L,"NHS SOUTH WEST LONDON",9131,93849.04,0,0
2021-07-01,93C,"NHS NORTH CENTRAL LONDON",9338,93836.91,0,0
2021-07-01,91Q,"NHS KENT AND MEDWAY",9353,79320.26,0,0
2021-07-01,72Q,"NHS SOUTH EAST LONDON",10129,104417.46,0,0
2021-07-01,D2P2L,"NHS BLACK COUNTRY",10578,96548.66,0,0
2021-07-01,15E,"NHS BIRMINGHAM AND SOLIHULL",11569,99769.67,0,0
2021-07-01,W2U3Z,"NHS NORTH WEST LONDON",12546,114651.62,0,0
2021-07-01,A3A8R,"NHS NORTH EAST LONDON",14256,138102.49,0,0
2021-08-01,09W,"NHS MEDWAY",0,0,0,0
2021-08-01,D4U1Y,"NHS FRIMLEY",16,112.21,0,0
2021-08-01,99F,"NHS CASTLE POINT AND ROCHFORD",506,4071.03,0,0
2021-08-01,07G,"NHS THURROCK",549,4199.9,0,0
2021-08-01,99G,"NHS SOUTHEND",552,4516.02,0,0
2021-08-01,11X,"NHS SOMERSET",620,4793.17,0,0
2021-08-01,02E,"NHS WARRINGTON",705,5310.3,0,0
2021-08-01,01V,"NHS SOUTHPORT AND FORMBY",708,7018.97,0,0
2021-08-01,01F,"NHS HALTON",713,6030.67,0,0
2021-08-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",738,4939.15,0,0
2021-08-01,02Q,"NHS BASSETLAW",783,6180.49,0,0
2021-08-01,04C,"NHS LEICESTER CITY",802,5043.59,0,0
2021-08-01,02T,"NHS CALDERDALE",806,6803.47,0,0
2021-08-01,05D,"NHS EAST STAFFORDSHIRE",822,6826.43,0,0
2021-08-01,99E,"NHS BASILDON AND BRENTWOOD",856,6846.09,0,0
2021-08-01,02G,"NHS WEST LANCASHIRE",885,8315.14,0,0
2021-08-01,02M,"NHS FYLDE AND WYRE",902,7883.36,0,0
2021-08-01,04Y,"NHS CANNOCK CHASE",933,8389,0,0
2021-08-01,01T,"NHS SOUTH SEFTON",942,8181.23,0,0
2021-08-01,10R,"NHS PORTSMOUTH",960,9842.77,0,0
2021-08-01,00V,"NHS BURY",1011,7111.2,0,0
2021-08-01,01J,"NHS KNOWSLEY",1018,8309.44,0,0
2021-08-01,00R,"NHS BLACKPOOL",1079,9629.5,0,0
2021-08-01,04V,"NHS WEST LEICESTERSHIRE",1092,7597.03,0,0
2021-08-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1112,10824.34,0,0
2021-08-01,01G,"NHS SALFORD",1128,8902.44,0,0
2021-08-01,05V,"NHS STAFFORD AND SURROUNDS",1166,11125.54,0,0
2021-08-01,78H,"NHS NORTHAMPTONSHIRE",1195,8907.5,0,0
2021-08-01,03K,"NHS NORTH LINCOLNSHIRE",1217,9513.39,0,0
2021-08-01,01K,"NHS MORECAMBE BAY",1219,10381.43,0,0
2021-08-01,01E,"NHS GREATER PRESTON",1244,12295.06,0,0
2021-08-01,02A,"NHS TRAFFORD",1273,11166.25,0,0
2021-08-01,00N,"NHS SOUTH TYNESIDE",1300,14321.43,0,0
2021-08-01,99C,"NHS NORTH TYNESIDE",1320,12777.28,0,0
2021-08-01,00Q,"NHS BLACKBURN WITH DARWEN",1324,12389.1,0,0
2021-08-01,09D,"NHS BRIGHTON AND HOVE",1348,14416.23,0,0
2021-08-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1360,11098.74,0,0
2021-08-01,01Y,"NHS TAMESIDE AND GLOSSOP",1365,12788.04,0,0
2021-08-01,02Y,"NHS EAST RIDING OF YORKSHIRE",1370,10646.43,0,0
2021-08-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",1387,13260.25,0,0
2021-08-01,03Q,"NHS VALE OF YORK",1402,14393.29,0,0
2021-08-01,01X,"NHS ST HELENS",1486,13796.5,0,0
2021-08-01,01W,"NHS STOCKPORT",1510,12650.99,0,0
2021-08-01,03F,"NHS HULL",1525,11833,0,0
2021-08-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1575,12111.04,0,0
2021-08-01,12F,"NHS WIRRAL",1704,14492.1,0,0
2021-08-01,05G,"NHS NORTH STAFFORDSHIRE",1716,14636.56,0,0
2021-08-01,00T,"NHS BOLTON",1891,14812.17,0,0
2021-08-01,00Y,"NHS OLDHAM",1977,15966.19,0,0
2021-08-01,07H,"NHS WEST ESSEX",1978,16405.05,0,0
2021-08-01,00P,"NHS SUNDERLAND",1992,20036.47,0,0
2021-08-01,03R,"NHS WAKEFIELD",2062,18753.79,0,0
2021-08-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",2099,20125.4,0,0
2021-08-01,06T,"NHS NORTH EAST ESSEX",2169,17450.78,0,0
2021-08-01,15A,"NHS BERKSHIRE WEST",2262,21445.61,0,0
2021-08-01,07K,"NHS WEST SUFFOLK",2316,17021.77,0,0
2021-08-01,02P,"NHS BARNSLEY",2333,19701.22,0,0
2021-08-01,01H,"NHS NORTH CUMBRIA",2429,24502.65,0,0
2021-08-01,06L,"NHS IPSWICH AND EAST SUFFOLK",2439,18953.22,0,0
2021-08-01,03L,"NHS ROTHERHAM",2467,20598.17,0,0
2021-08-01,02H,"NHS WIGAN BOROUGH",2601,23250.75,0,0
2021-08-01,13T,"NHS NEWCASTLE GATESHEAD",2614,24853.15,0,0
2021-08-01,06Q,"NHS MID ESSEX",2631,20233.31,0,0
2021-08-01,00L,"NHS NORTHUMBERLAND",2662,25622.48,0,0
2021-08-01,02X,"NHS DONCASTER",2692,23053.15,0,0
2021-08-01,05W,"NHS STOKE ON TRENT",2731,22800.19,0,0
2021-08-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",2833,28124.13,0,0
2021-08-01,01A,"NHS EAST LANCASHIRE",2860,23091.7,0,0
2021-08-01,X2C4Y,"NHS KIRKLEES",3039,30730.7,0,0
2021-08-01,97R,"NHS EAST SUSSEX",3059,28150.71,0,0
2021-08-01,06N,"NHS HERTS VALLEYS",3156,32129.39,0,0
2021-08-01,11J,"NHS DORSET",3238,27163.55,0,0
2021-08-01,99A,"NHS LIVERPOOL",3272,29757.14,0,0
2021-08-01,15F,"NHS LEEDS",3489,31122.22,0,0
2021-08-01,27D,"NHS CHESHIRE",3638,32166.72,0,0
2021-08-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",3659,37424.1,0,0
2021-08-01,14Y,"NHS BUCKINGHAMSHIRE",3810,33214.69,0,0
2021-08-01,11M,"NHS GLOUCESTERSHIRE",4033,34762.5,0,0
2021-08-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",4123,34235.61,0,0
2021-08-01,42D,"NHS NORTH YORKSHIRE",4129,40659.77,0,0
2021-08-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",4267,40434.81,0,0
2021-08-01,84H,"NHS COUNTY DURHAM",4323,39837.32,0,0
2021-08-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",4359,36557.05,0,0
2021-08-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",4399,35962.83,0,0
2021-08-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",4484,36899.29,0,0
2021-08-01,10Q,"NHS OXFORDSHIRE",4512,42507.67,0,0
2021-08-01,03N,"NHS SHEFFIELD",4518,38272.49,0,0
2021-08-01,70F,"NHS WEST SUSSEX",4723,46663.76,0,0
2021-08-01,14L,"NHS MANCHESTER",5019,41467.91,0,0
2021-08-01,16C,"NHS TEES VALLEY",5026,45385.83,0,0
2021-08-01,71E,"NHS LINCOLNSHIRE",5093,39400.4,0,0
2021-08-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",5355,40037.97,0,0
2021-08-01,15N,"NHS DEVON",5619,46379.07,0,0
2021-08-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",5949,50333.01,0,0
2021-08-01,92A,"NHS SURREY HEARTLANDS",6142,62178.34,0,0
2021-08-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",6420,53378.73,0,0
2021-08-01,15M,"NHS DERBY AND DERBYSHIRE",6505,61248.21,0,0
2021-08-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",6589,63799.74,0,0
2021-08-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",7348,58848.7,0,0
2021-08-01,26A,"NHS NORFOLK AND WAVENEY",7769,64281.97,0,0
2021-08-01,93C,"NHS NORTH CENTRAL LONDON",8247,84246.15,0,0
2021-08-01,36L,"NHS SOUTH WEST LONDON",8316,87027.8,0,0
2021-08-01,91Q,"NHS KENT AND MEDWAY",8487,72523.68,0,0
2021-08-01,72Q,"NHS SOUTH EAST LONDON",9058,94556.23,0,0
2021-08-01,D2P2L,"NHS BLACK COUNTRY",9871,90686.84,0,0
2021-08-01,W2U3Z,"NHS NORTH WEST LONDON",10865,100428.43,0,0
2021-08-01,15E,"NHS BIRMINGHAM AND SOLIHULL",10889,95092.57,0,0
2021-08-01,A3A8R,"NHS NORTH EAST LONDON",12916,126253.43,0,0
2021-09-01,09W,"NHS MEDWAY",0,0,0,0
2021-09-01,D4U1Y,"NHS FRIMLEY",26,217.5,0,0
2021-09-01,07G,"NHS THURROCK",607,4557.96,0,0
2021-09-01,99F,"NHS CASTLE POINT AND ROCHFORD",612,4798.14,0,0
2021-09-01,99G,"NHS SOUTHEND",630,4932.54,0,0
2021-09-01,11X,"NHS SOMERSET",802,6273.16,0,0
2021-09-01,01F,"NHS HALTON",837,6574.82,0,0
2021-09-01,02E,"NHS WARRINGTON",890,6904.06,0,0
2021-09-01,01V,"NHS SOUTHPORT AND FORMBY",907,8769.15,0,0
2021-09-01,02T,"NHS CALDERDALE",909,7325.59,0,0
2021-09-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",913,5929.33,0,0
2021-09-01,02Q,"NHS BASSETLAW",923,6857.51,0,0
2021-09-01,99E,"NHS BASILDON AND BRENTWOOD",934,7097.31,0,0
2021-09-01,04C,"NHS LEICESTER CITY",960,5694.82,0,0
2021-09-01,02G,"NHS WEST LANCASHIRE",981,9048.43,0,0
2021-09-01,05D,"NHS EAST STAFFORDSHIRE",999,7756.42,0,0
2021-09-01,02M,"NHS FYLDE AND WYRE",1062,8962.45,0,0
2021-09-01,10R,"NHS PORTSMOUTH",1102,10984.46,0,0
2021-09-01,04Y,"NHS CANNOCK CHASE",1134,9909.64,0,0
2021-09-01,01J,"NHS KNOWSLEY",1157,9646.23,0,0
2021-09-01,01T,"NHS SOUTH SEFTON",1192,9881.4,0,0
2021-09-01,04V,"NHS WEST LEICESTERSHIRE",1249,8688.55,0,0
2021-09-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1250,11859.15,0,0
2021-09-01,00V,"NHS BURY",1281,8850.45,0,0
2021-09-01,01G,"NHS SALFORD",1285,9932.38,0,0
2021-09-01,78H,"NHS NORTHAMPTONSHIRE",1313,9683.82,0,0
2021-09-01,05V,"NHS STAFFORD AND SURROUNDS",1345,12541.19,0,0
2021-09-01,03K,"NHS NORTH LINCOLNSHIRE",1372,10602.39,0,0
2021-09-01,00R,"NHS BLACKPOOL",1389,12032.77,0,0
2021-09-01,01K,"NHS MORECAMBE BAY",1426,10895.34,0,0
2021-09-01,01E,"NHS GREATER PRESTON",1438,13555.06,0,0
2021-09-01,00N,"NHS SOUTH TYNESIDE",1457,15599.68,0,0
2021-09-01,02A,"NHS TRAFFORD",1529,13402.39,0,0
2021-09-01,99C,"NHS NORTH TYNESIDE",1533,15165.23,0,0
2021-09-01,03Q,"NHS VALE OF YORK",1537,15713.23,0,0
2021-09-01,09D,"NHS BRIGHTON AND HOVE",1539,16120.73,0,0
2021-09-01,02Y,"NHS EAST RIDING OF YORKSHIRE",1545,12010,0,0
2021-09-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",1581,15146.69,0,0
2021-09-01,00Q,"NHS BLACKBURN WITH DARWEN",1607,14439.07,0,0
2021-09-01,01Y,"NHS TAMESIDE AND GLOSSOP",1648,15077.51,0,0
2021-09-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1687,12963.81,0,0
2021-09-01,03F,"NHS HULL",1703,13038.56,0,0
2021-09-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1744,13191.82,0,0
2021-09-01,01W,"NHS STOCKPORT",1772,14592.26,0,0
2021-09-01,01X,"NHS ST HELENS",1795,16196.77,0,0
2021-09-01,05G,"NHS NORTH STAFFORDSHIRE",1845,15730.52,0,0
2021-09-01,12F,"NHS WIRRAL",1892,15622.04,0,0
2021-09-01,00T,"NHS BOLTON",2141,16930.75,0,0
2021-09-01,03R,"NHS WAKEFIELD",2182,19692.05,0,0
2021-09-01,07H,"NHS WEST ESSEX",2195,17617.04,0,0
2021-09-01,00P,"NHS SUNDERLAND",2309,22865.13,0,0
2021-09-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",2366,22782.76,0,0
2021-09-01,06T,"NHS NORTH EAST ESSEX",2372,18822.33,0,0
2021-09-01,07K,"NHS WEST SUFFOLK",2513,18123.55,0,0
2021-09-01,00Y,"NHS OLDHAM",2523,19787.55,0,0
2021-09-01,01H,"NHS NORTH CUMBRIA",2657,25578.86,0,0
2021-09-01,15A,"NHS BERKSHIRE WEST",2664,25441.57,0,0
2021-09-01,02P,"NHS BARNSLEY",2700,22315.51,0,0
2021-09-01,03L,"NHS ROTHERHAM",2727,22167.6,0,0
2021-09-01,02X,"NHS DONCASTER",2791,23349.1,0,0
2021-09-01,00L,"NHS NORTHUMBERLAND",2819,26357.7,0,0
2021-09-01,06L,"NHS IPSWICH AND EAST SUFFOLK",2885,21569.4,0,0
2021-09-01,13T,"NHS NEWCASTLE GATESHEAD",2915,27327.93,0,0
2021-09-01,06Q,"NHS MID ESSEX",3007,23531.29,0,0
2021-09-01,02H,"NHS WIGAN BOROUGH",3080,27407.17,0,0
2021-09-01,05W,"NHS STOKE ON TRENT",3229,26424.39,0,0
2021-09-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",3265,31388.05,0,0
2021-09-01,01A,"NHS EAST LANCASHIRE",3483,27227,0,0
2021-09-01,97R,"NHS EAST SUSSEX",3551,32327.66,0,0
2021-09-01,X2C4Y,"NHS KIRKLEES",3559,34758.6,0,0
2021-09-01,99A,"NHS LIVERPOOL",3702,32796.2,0,0
2021-09-01,06N,"NHS HERTS VALLEYS",3717,36537.03,0,0
2021-09-01,11J,"NHS DORSET",3779,30901.3,0,0
2021-09-01,15F,"NHS LEEDS",4017,34278.79,0,0
2021-09-01,27D,"NHS CHESHIRE",4046,35169.69,0,0
2021-09-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",4319,41879.64,0,0
2021-09-01,14Y,"NHS BUCKINGHAMSHIRE",4326,36725.9,0,0
2021-09-01,42D,"NHS NORTH YORKSHIRE",4488,42835.31,0,0
2021-09-01,11M,"NHS GLOUCESTERSHIRE",4630,38706.15,0,0
2021-09-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",4641,37691.34,0,0
2021-09-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",4721,38624.17,0,0
2021-09-01,10Q,"NHS OXFORDSHIRE",4885,44915.67,0,0
2021-09-01,84H,"NHS COUNTY DURHAM",4922,43834.5,0,0
2021-09-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",4999,46156.8,0,0
2021-09-01,03N,"NHS SHEFFIELD",5024,42024.79,0,0
2021-09-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",5057,40464.62,0,0
2021-09-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",5310,42877.21,0,0
2021-09-01,70F,"NHS WEST SUSSEX",5393,52090.77,0,0
2021-09-01,71E,"NHS LINCOLNSHIRE",5507,41213.83,0,0
2021-09-01,16C,"NHS TEES VALLEY",5590,49257.66,0,0
2021-09-01,14L,"NHS MANCHESTER",5871,47638.08,0,0
2021-09-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",6107,44290.76,0,0
2021-09-01,15N,"NHS DEVON",6559,52785.43,0,0
2021-09-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",6754,56223.15,0,0
2021-09-01,92A,"NHS SURREY HEARTLANDS",6903,66892.26,0,0
2021-09-01,15M,"NHS DERBY AND DERBYSHIRE",7125,66264.81,0,0
2021-09-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",7133,57953.8,0,0
2021-09-01,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",7515,70248.26,0,0
2021-09-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",8133,63878.42,0,0
2021-09-01,26A,"NHS NORFOLK AND WAVENEY",8578,70078.75,0,0
2021-09-01,36L,"NHS SOUTH WEST LONDON",9401,94308.64,0,0
2021-09-01,93C,"NHS NORTH CENTRAL LONDON",9660,96058.31,0,0
2021-09-01,91Q,"NHS KENT AND MEDWAY",10123,84402.86,0,0
2021-09-01,72Q,"NHS SOUTH EAST LONDON",10682,109889.16,0,0
2021-09-01,D2P2L,"NHS BLACK COUNTRY",11480,101445.22,0,0
2021-09-01,15E,"NHS BIRMINGHAM AND SOLIHULL",12745,107268.22,0,0
2021-09-01,W2U3Z,"NHS NORTH WEST LONDON",13194,119849.63,0,0
2021-09-01,A3A8R,"NHS NORTH EAST LONDON",14886,140251.49,0,0
2021-10-01,09W,"NHS MEDWAY",0,0,0,0
2021-10-01,D4U1Y,"NHS FRIMLEY",36,249.56,0,0
2021-10-01,07G,"NHS THURROCK",558,4132.45,0,0
2021-10-01,99F,"NHS CASTLE POINT AND ROCHFORD",623,4884.18,0,0
2021-10-01,99G,"NHS SOUTHEND",655,5217.96,0,0
2021-10-01,11X,"NHS SOMERSET",782,5910.8,0,0
2021-10-01,02T,"NHS CALDERDALE",794,6274.75,0,0
2021-10-01,01F,"NHS HALTON",810,6727.39,0,0
2021-10-01,02Q,"NHS BASSETLAW",831,6287.72,0,0
2021-10-01,02E,"NHS WARRINGTON",864,6631.35,0,0
2021-10-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",867,5587.02,0,0
2021-10-01,04C,"NHS LEICESTER CITY",883,5487.15,0,0
2021-10-01,01V,"NHS SOUTHPORT AND FORMBY",885,8285.5,0,0
2021-10-01,99E,"NHS BASILDON AND BRENTWOOD",904,6923.82,0,0
2021-10-01,05D,"NHS EAST STAFFORDSHIRE",971,7886.75,0,0
2021-10-01,02G,"NHS WEST LANCASHIRE",991,9021.68,0,0
2021-10-01,02M,"NHS FYLDE AND WYRE",1037,8679.95,0,0
2021-10-01,04Y,"NHS CANNOCK CHASE",1071,9498.35,0,0
2021-10-01,01T,"NHS SOUTH SEFTON",1091,9389.65,0,0
2021-10-01,10R,"NHS PORTSMOUTH",1119,11221.77,0,0
2021-10-01,01J,"NHS KNOWSLEY",1149,9220.35,0,0
2021-10-01,04V,"NHS WEST LEICESTERSHIRE",1212,8126.97,0,0
2021-10-01,05V,"NHS STAFFORD AND SURROUNDS",1279,11778.62,0,0
2021-10-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1287,12252.05,0,0
2021-10-01,00V,"NHS BURY",1300,8774.03,0,0
2021-10-01,03K,"NHS NORTH LINCOLNSHIRE",1305,10022.67,0,0
2021-10-01,00R,"NHS BLACKPOOL",1328,11532.52,0,0
2021-10-01,78H,"NHS NORTHAMPTONSHIRE",1348,9642.85,0,0
2021-10-01,01G,"NHS SALFORD",1386,10829.08,0,0
2021-10-01,02Y,"NHS EAST RIDING OF YORKSHIRE",1400,10936.64,0,0
